PID,task_no,condition,whole,early,mid,late,late_browser_dur,late_total_dur,late_any,span,n_fix,bug,correct
P19,1,control,0.0,0.0,0.0,0.0,0.0,2.395265409342448,0,25.170422184244792,3514,math63,N
P19,2,correct,0.0,0.0,0.0,0.0,0.0,0.2718037068684896,0,8.71606533203125,781,math50,Y
P19,3,overfitting,0.03011837706482584,0.0,0.057231469647526095,0.05731983473217171,0.08749988199869792,1.5265201375325521,1,25.11056970214844,2841,math33,N
P2,1,control,0.21241360659224295,0.2064727096484654,0.2289913006749717,0.202635360137873,1.1918003051757813,5.88150214436849,1,25.35556983235677,5592,math50,N
P2,2,overfitting,0.036987155755120196,0.0,0.08431391454206738,0.028282031853366415,0.15124923095703124,5.347891259765625,1,25.320297432454428,5102,chart12,N
P2,3,correct,0.0,0.0,0.0,0.0,0.0,4.013730672200521,0,20.10810001627604,4192,lang10,N
P20,1,control,0.01838124759118672,0.03954904968280715,0.012337564599696418,0.0,0.0,4.7897048828125,0,25.12363741455078,4455,math33,N
P20,2,overfitting,0.02361156669123782,0.028890786937050966,0.012767918320937781,0.029128523526726662,0.11347128499348959,3.895538505045573,1,25.15545088297526,4786,chart12,N
P20,3,correct,0.04437089954836868,0.12301673252341988,0.0,0.0,0.0,3.702764034016927,0,21.690876513671874,4382,math63,N
P21,1,overfitting,0.0035341528995306982,0.0,0.002876735825318768,0.008192281429057103,0.019305253092447915,2.3565173217773436,1,17.13727003580729,3138,chart12,Y
P21,2,control,0.04824476189809529,0.07609934051524747,0.04222487978899797,0.010744059041993406,0.022499727376302084,2.094155224609375,1,25.12376591796875,3673,math50,N
P21,3,correct,0.022965104046383307,0.0,0.07565782579244659,0.0,0.0,1.5041583333333333,0,8.339398950195312,1376,lang10,Y
P22,1,overfitting,0.11808018521520876,0.11008175281449986,0.1375916289114308,0.10581309259065134,0.43735854899088544,4.133312223307292,1,19.877813631184896,4366,math50,N
P22,2,correct,0.04902232275848695,0.0,0.15239640243994212,0.0,0.0,1.0898563354492188,0,5.090529052734375,1189,math63,Y
P22,3,control,0.07531628806619274,0.043099473802110204,0.2020044853069791,0.0,0.0,6.040530375162761,0,25.13362913411458,5661,chart12,N
P23,1,correct,0.05101381964555641,0.04982144411840393,0.0,0.10340162218556072,0.4044417643229167,3.9113676920572917,1,15.175606868489583,3053,math50,Y
P23,2,overfitting,0.04890190298057052,0.06067351629920717,0.035384466930534805,0.050850161993611885,0.30360930989583335,5.970665539550781,1,23.16613151855469,5040,lang10,N
P23,3,control,0.06278325560320555,0.0,0.06442251073373462,0.12759697902905254,0.7284691853841145,5.709141320800781,1,25.209733317057292,5699,chart12,N
P24,1,correct,0.1607427150315292,0.11259387070187045,0.305951698154424,0.0725865178635061,0.2469442830403646,3.402068184407552,1,25.120012666829428,4872,lang10,Y
P24,2,control,0.0,0.0,0.0,0.0,0.0,1.671935701497396,0,7.257879117838542,1671,chart12,Y
P24,3,overfitting,0.23664429998792955,0.0,0.424736062782341,0.2881797063462425,0.66333076171875,2.301795536295573,1,15.082982246907552,3025,math33,Y
P25,1,control,0.06739988589682501,0.11705810938039884,0.037154837845947565,0.04696899830195781,0.30152660319010416,6.419694140625,1,25.089185013834637,5560,lang10,N
P25,2,control,0.07251203114283267,0.2027214384582761,0.0,0.005244248278846792,0.03124976806640625,5.958865104166667,1,25.136421931966147,5496,math50,N
P25,3,overfitting,0.007443296056461695,0.0,0.02257023111583792,0.0,0.0,1.61874306640625,0,6.451077632649739,1183,math33,N
